1,4.218000000000001,-24.476,-5.093999999999999
51,25.094,-48.782000000000004,25.094
101,25.588,-48.782000000000004,25.588
151,27.538,-53.072,27.538
201,27.85,-56.24000000000001,27.85
251,27.85,-56.24000000000001,27.85
301,27.85,-56.24000000000001,27.85
351,27.85,-56.28000000000001,27.85
401,27.85,-56.28000000000001,27.85
451,27.85,-56.28000000000001,27.85
501,27.85,-56.28000000000001,27.85
551,27.85,-56.28000000000001,27.85
601,27.85,-56.28000000000001,27.85
651,27.85,-56.28000000000001,27.85
701,27.85,-56.28000000000001,27.85
751,27.85,-56.28000000000001,27.85
801,27.85,-56.28000000000001,27.85
851,27.85,-56.28000000000001,27.85
901,29.119999999999997,-56.28000000000001,29.119999999999997
951,30.76,-56.28000000000001,30.76
1001,30.8,-56.28000000000001,30.8
1051,30.8,-56.28000000000001,30.8
1101,30.8,-56.28000000000001,30.8
1151,30.8,-56.28000000000001,30.8
1201,30.8,-56.28000000000001,30.8
1251,30.8,-56.28000000000001,30.8
1301,30.8,-56.28000000000001,30.8
1351,30.8,-56.28000000000001,30.8
1401,30.8,-56.28000000000001,30.8
1451,32.11,-56.28000000000001,32.11
1501,32.45,-56.28000000000001,32.45
1551,32.45,-56.28000000000001,32.45
1601,32.45,-56.28000000000001,32.45
1651,33.71,-56.28000000000001,33.71
1701,33.71,-56.28000000000001,33.71
1751,33.71,-56.28000000000001,33.71
1801,33.71,-57.64000000000001,32.69
